trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
282,False,"{'a': 0.5, 'e': 0.15399999999999925}",20,0,18.366944350716107,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
283,False,"{'a': 0.5, 'e': 0.15099999999999925}",25,18,9.577937752431355,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.14799999999999924}",30,13,13.329073620860164,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.14499999999999924}",30,18,17.880114325553134,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.5, 'e': 0.14199999999999924}",20,5,6.753139296466445,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.13899999999999924}",20,8,-5.463651797076512,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.13599999999999923}",20,8,19.24689807496383,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.13299999999999923}",20,13,-0.8815998560753797,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,3,25.326656388570957,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.12699999999999922}",30,18,14.890327595654457,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.5, 'e': 0.12399999999999922}",20,10,16.714752657129726,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.5, 'e': 0.12099999999999922}",25,10,26.52839932743734,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.5, 'e': 0.11799999999999922}",20,13,13.938833701493927,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.11499999999999921}",25,15,4.903269339743964,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.11199999999999921}",20,0,29.098029120308972,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
297,False,"{'a': 0.5, 'e': 0.10899999999999921}",20,2,28.25655877419511,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.1059999999999992}",25,14,18.25026016982292,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.1029999999999992}",20,15,3.7670099015619387,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.0999999999999992}",20,16,8.630666546528987,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.0969999999999992}",25,17,0.08820979442463606,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.0939999999999992}",30,8,8.71237947353605,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.09099999999999919}",20,12,7.599988280246992,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.08799999999999919}",30,13,26.658254336369772,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.08499999999999919}",25,16,5.590357155968826,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.08199999999999918}",20,12,15.601768825387701,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.5, 'e': 0.07899999999999918}",20,3,22.187454239797972,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.5, 'e': 0.07599999999999918}",30,20,18.97308234918938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
